"rooms";"separate_rooms";"area";"sity";"street";"house";"floor";"max_floor";"house_type";"total_square";"live_square";"kitchen_square";"year";"repare_year";"balcony";"total_price";"price"
"1";"1";"Цен";"Минск";"Киселева ул.";"17";"5";"8";"кб";"80";"76,9";"—";"2016";"";"-";"340370";"4255"
"2";"2";"";"Копище";"Подгорная ул.";"19-А/4";"9";"11";"п";"56,4";"29,7";"11,2";"2016";"";"лз";"195627";"3468"
"1";"1";"Фр";"Минск";"Сухаревская ул.";"55";"7";"9";"п";"39,3";"17,2";"8,9";"1999";"";"лз";"115452";"2938"
"2";"2";"Цен";"Минск";"Победителей просп.";"27";"7";"25";"кб";"74,4";"40,7";"11,7";"2012";"";"лз";"425462";"5719"
"5";"5";"Мос";"Минск";"Курганная ул.";"33";"2";"2";"кб";"306";"128";"65,4";"2018";"";"-";"470360";"1537"
"3";"1";"Лен";"Минск";"Маяковского ул.";"8";"6";"9";"к";"63,7";"41,8";"10,6";"1973";"";"бз";"166764";"2617"
"5";"5";"";"Логожеск";"";"";"2";"3";"сб";"297";"133";"32,6";"2016";"";"т";"726920";"2448"
"1";"1";"Фр";"Минск";"Игнатовского ул.";"14";"8";"9";"п";"40";"17,9";"9";"2010";"";"лз";"136832";"3421"
"3";"3";"Лен";"Минск";"Гошкевича ул.";"18";"3";"16";"п";"75";"45";"9,5";"2006";"";"лз";"235180";"3136"
"2";"2";"Окт";"Минск";"Ландера ул.";"62-1";"1";"5";"п";"49,9";"34,2";"6,4";"1973";"";"";"135763";"2722"
"3";"2";"Пер";"Минск";"Независимости просп.";"85-Г";"10";"10";"м";"120";"64,3";"—";"2015";"";"бз";"435789";"3635"
